dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,118.0,11.0,19.0,59.0,1.5,26.0,1.5,68.0,1.5,32.0
01M539,409.0,134.0,18.0,44.0,26.0,162.0,25.0,118.0,0.0,56.0
01M696,279.0,65.0,28.0,42.0,15.0,85.0,44.0,88.0,0.0,31.0
02M047,84.0,2.5,15.0,56.0,2.5,2.5,8.0,71.0,15.0,17.0
02M260,163.0,17.0,6.0,19.0,8.0,105.0,8.0,19.0,0.0,30.0
02M374,190.0,10.0,58.0,86.0,8.0,9.0,19.0,133.0,12.0,33.0
02M376,161.0,15.0,22.0,37.0,11.0,55.0,21.0,97.0,0.0,33.0
02M407,86.0,9.0,23.0,13.0,2.5,36.0,2.5,30.0,2.5,22.0
02M408,191.0,17.0,22.0,42.0,17.0,79.0,14.0,55.0,0.0,31.0
02M411,173.0,51.0,2.5,13.0,10.5,69.0,25.0,62.0,2.5,29.0
02M412,176.0,44.0,2.5,8.5,11.0,72.0,38.0,60.0,2.5,37.0
02M413,145.0,21.0,14.0,21.0,17.0,63.0,9.0,44.0,0.0,31.0
02M414,252.0,34.0,16.0,22.0,9.0,134.0,37.0,48.0,0.0,33.0
02M416,345.0,82.0,2.5,11.0,24.0,155.0,68.0,56.0,2.5,34.0
02M418,270.0,137.0,9.0,30.0,6.0,63.0,25.0,114.0,0.0,41.0
02M439,138.0,23.0,20.0,61.0,2.5,17.0,11.5,81.0,2.5,28.0
02M519,173.0,9.5,32.0,81.0,2.5,27.0,20.0,82.0,2.5,28.0
02M531,72.0,2.5,14.0,30.0,2.5,13.0,9.0,34.0,2.5,18.0
02M542,154.0,2.5,2.5,147.0,2.5,2.5,2.5,137.0,77.0,21.0
02M545,144.0,115.0,2.5,11.0,2.5,7.0,2.5,109.0,34.0,17.0
02M600,586.0,29.0,167.0,309.0,13.0,34.0,34.0,438.0,31.0,126.0
02M605,83.0,2.5,17.0,34.0,2.5,13.0,13.0,49.0,2.5,19.0
02M630,471.0,60.0,53.0,165.0,22.0,122.0,49.0,216.0,6.0,93.0
03M291,108.0,11.0,2.5,16.0,2.5,67.0,9.0,15.0,2.5,24.0
03M417,156.0,10.0,11.0,41.0,6.0,71.0,17.0,40.0,0.0,34.0
03M479,605.0,122.0,66.0,151.0,33.0,171.0,62.0,209.0,0.0,113.0
03M541,204.0,64.0,26.0,55.0,6.0,33.0,20.0,141.0,0.0,28.0
03M859,69.0,11.0,2.5,12.0,8.0,28.0,2.5,13.0,2.5,7.0
04M435,644.0,176.0,99.0,230.0,23.0,82.0,34.0,426.0,51.0,76.0
04M495,132.0,9.0,39.0,69.0,2.5,9.0,2.5,93.0,6.0,27.0
04M555,214.0,40.0,41.0,87.0,8.0,25.0,13.0,147.0,6.0,35.0
04M610,113.0,10.0,21.0,54.0,2.5,7.0,20.0,87.0,2.5,21.0
05M362,142.0,16.0,26.0,51.0,2.5,43.0,2.5,69.0,2.5,29.0
05M670,159.0,2.5,102.0,45.0,7.0,2.5,2.5,137.0,6.0,38.0
06M293,96.0,2.5,2.5,89.0,2.5,2.5,2.5,81.0,2.5,23.0
07X495,184.0,13.0,46.0,105.0,2.5,7.5,11.0,143.0,8.0,39.0
07X500,110.0,2.0,32.0,74.0,2.0,2.0,2.0,91.0,6.0,23.0
09X324,130.0,2.5,31.0,85.0,2.5,2.5,2.5,114.0,21.0,32.0
09X413,151.0,2.5,56.0,80.0,2.5,2.5,2.5,127.0,27.0,38.0
09X568,112.0,6.0,36.0,64.0,2.5,2.5,2.5,95.0,2.5,24.0
10X141,251.0,9.0,18.0,158.0,7.5,57.0,2.5,129.0,23.0,54.0
10X225,85.0,2.5,29.0,47.0,2.5,2.5,2.5,76.0,8.0,19.0
10X368,161.0,2.5,17.0,129.0,2.5,2.5,2.5,140.0,38.0,38.0
10X434,158.0,2.5,49.0,95.0,2.5,7.0,2.5,134.0,12.0,38.0
10X437,156.0,2.5,44.0,96.0,2.5,8.0,2.5,127.0,6.0,34.0
10X442,164.0,2.5,61.0,92.0,2.5,2.5,2.5,137.0,7.0,37.0
12X478,117.0,2.5,28.0,84.0,2.5,2.5,2.5,102.0,11.0,25.0
13K265,80.0,2.0,52.0,24.0,2.0,2.0,2.0,70.0,2.0,13.0
13K595,115.0,15.0,79.0,10.0,2.5,6.0,2.5,74.0,2.5,19.0
13K670,299.0,9.0,213.0,58.0,8.0,8.5,2.5,232.0,8.0,53.0
14K614,97.0,9.0,44.0,37.0,2.5,2.5,2.5,84.0,6.0,18.0
15K429,125.0,2.5,44.0,58.0,2.5,12.0,2.5,89.0,2.5,26.0
15K497,131.0,2.5,33.0,34.0,2.5,48.0,6.0,54.0,2.5,23.0
15K656,260.0,15.0,119.0,75.0,10.0,24.0,17.0,156.0,0.0,29.0
15K684,312.0,106.0,17.5,31.0,2.5,107.0,39.0,153.0,2.5,34.0
17K543,138.0,14.0,97.0,16.0,2.5,2.5,2.5,94.0,2.5,17.0
17K590,286.0,13.0,231.0,20.0,13.0,2.5,7.5,214.0,2.5,36.0
19K409,122.0,2.5,71.0,39.0,2.5,2.5,2.5,104.0,6.0,27.0
21K468,121.0,11.0,31.0,42.0,2.5,30.0,2.5,95.0,2.5,22.0
22K535,511.0,173.0,72.0,48.0,12.0,178.0,28.0,267.0,0.0,49.0
22K555,201.0,12.0,135.0,23.0,2.5,10.5,16.0,120.0,6.0,35.0
24Q299,267.0,94.0,46.0,45.0,8.0,44.0,30.0,169.0,0.0,36.0
24Q520,105.0,11.0,2.5,75.0,2.5,14.0,2.5,78.0,6.0,20.0
24Q610,635.0,261.0,18.0,244.0,8.0,74.0,30.0,456.0,19.0,88.0
25Q252,132.0,47.0,19.0,17.0,2.5,39.0,8.0,69.0,2.5,15.0
25Q525,577.0,336.0,23.0,43.0,16.0,84.0,75.0,228.0,0.0,55.0
27Q323,199.0,31.0,25.0,36.0,2.0,103.0,2.0,77.0,2.0,33.0
27Q650,304.0,84.0,25.0,99.0,11.0,57.0,28.0,186.0,0.0,48.0
28Q284,92.0,22.0,53.0,2.5,10.0,2.5,2.5,72.0,2.5,15.0
