dbn,school_name,admissions_method
01M450,East Side Community School,"MS:Screened, HS:Screened"
01M539,"New Explorations into Science, Technology and Math","ES:Citywide G&T, MS:Screened, HS:Screened"
01M696,Bard High School Early College,HS:Screened
02M047,47 The American Sign Language and English Secondar,HS:Screened
02M260,The Clinton School,"MS:Screened, HS:Screened"
02M374,Gramercy Arts High School,"HS:Audition, Screened"
02M376,NYC iSchool,HS:Screened
02M407,Institute for Collaborative Education,"MS:Screened, HS:Screened"
02M408,Professional Performing Arts High School,"MS:Screened, HS:Audition"
02M411,Baruch College Campus High School,HS:Screened
02M412,N.Y.C. Lab School for Collaborative Studies,HS:Screened
02M413,School of the Future High School,"MS:Screened, HS:Screened"
02M414,N.Y.C. Museum School,HS:Screened
02M416,Eleanor Roosevelt High School,HS:Screened
02M418,Millennium High School,HS:Screened
02M439,Manhattan Village Academy,HS:Screened
02M519,Talent Unlimited High School,HS:Audition
02M531,Repertory Company High School for Theatre Arts,HS:Audition
02M542,Manhattan Bridges High School,HS:Screened: Language & Academics
02M545,High School for Dual Language and Asian Studies,HS:Screened: Language & Academics
02M600,The High School of Fashion Industries,HS:Audition
02M605,Humanities Preparatory Academy,HS:Screened
02M630,Art and Design High School,HS:Audition
03M291,West End Secondary School,"MS:Screened, HS:Screened"
03M417,Frank McCourt High School,HS:Screened
03M479,Beacon High School,HS:Screened
03M541,Manhattan / Hunter Science High School,HS:Screened
03M859,Special Music School,"ES:Non-Zoned, MS:Screened, HS:Audition"
04M435,Manhattan Center for Science and Mathematics,"HS:Screened, Screened: Language & Academics"
04M495,Park East High School,HS:Screened
04M555,Central Park East High School,HS:Screened
04M610,Young Women's Leadership School,"MS:Screened, HS:Screened"
05M362,Columbia Secondary School,"MS:Screened, HS:Screened"
05M670,Thurgood Marshall Academy for Learning and Social,"MS:Screened, HS:Screened"
06M293,City College Academy of the Arts,"MS:Limited Unscreened, HS:Screened"
07X495,University Heights Secondary School,HS:Screened
07X500,Hostos-Lincoln Academy of Science,"MS:Screened, HS:Screened"
09X324,Bronx Early College Academy for Teaching & Learnin,"MS:Limited Unscreened, HS:Screened"
09X413,Bronx High School for Medical Science,"MS:Screened, HS:Screened"
09X568,Young Women's Leadership School of the Bronx,"MS:Screened, HS:Screened"
10X141,Riverdale / Kingsbridge Academy (Middle School / H,"MS:Open, Screened, Zoned, HS:Screened"
10X225,Theatre Arts Production Company School,"MS:Screened, HS:Audition"
10X368,In-Tech Academy (M.S. / High School 368),"MS:Open, Screened, Zoned, HS:Screened"
10X434,Belmont Preparatory High School,HS:Screened
10X437,Fordham High School for the Arts,HS:Audition
10X442,"Celia Cruz Bronx High School of Music, The",HS:Audition
12X478,The Cinema School,HS:Screened
13K265,Dr. Susan S. McKinney Secondary School of the Arts,"MS:Screened, HS:Audition"
13K595,Bedford Academy High School,HS:Screened
13K670,Benjamin Banneker Academy,HS:Screened
14K614,Young Women's Leadership School of Brooklyn,"MS:Screened, HS:Screened"
15K429,Digital Arts and Cinema Technology High School,HS:Screened
15K497,The Boerum Hill School for International Studies,"MS:Open, HS:Screened"
15K656,Brooklyn High School of the Arts,HS:Audition
15K684,Millennium Brooklyn HS,HS:Screened
17K543,"Science, Technology and Research Early College Hig","MS:Screened, HS:Screened"
17K590,Medgar Evers College Preparatory School,"MS:Screened, HS:Screened"
19K409,East New York Family Academy,"MS:Screened, HS:Screened"
21K468,Kingsborough Early College School,"MS:Open, HS:Screened"
22K535,Leon M. Goldstein High School for the Sciences,HS:Screened
22K555,Brooklyn College Academy,HS:Screened
24Q299,Bard High School Early College Queens,HS:Screened
24Q520,Middle College High School at LaGuardia Community,HS:Screened
24Q610,Aviation Career & Technical Education High School,HS:Screened
25Q252,"Queens School of Inquiry, The","MS:Open, HS:Screened"
25Q525,Townsend Harris High School,HS:Screened
27Q323,Scholars' Academy,"MS:Screened, HS:Screened"
27Q650,"High School for Construction Trades, Engineering a",HS:Screened
28Q284,York Early College Academy,"MS:Limited Unscreened, HS:Screened"
28Q680,Queens Gateway to Health Sciences Secondary School,"MS:Screened, HS:Screened"
28Q690,High School for Law Enforcement and Public Safety,HS:Screened
28Q896,"Young Women's Leadership School, Queens","MS:Screened, HS:Screened"
30Q286,"Young Women's Leadership School, Astoria","MS:Screened, HS:Screened"
30Q501,Frank Sinatra School of the Arts High School,HS:Audition
30Q580,Baccalaureate School for Global Education,"MS:Screened, HS:Screened"
