dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,1869.0,287.0,328.0,738.0,54.0,297.0,165.0,1154.0,84.0,418.0
01M539,6203.0,1842.0,653.0,1159.0,265.0,1697.0,587.0,2758.0,88.0,450.0
01M696,3971.0,784.0,769.0,957.0,147.0,838.0,476.0,2017.0,70.0,346.0
02M047,397.0,17.0,96.0,245.0,8.0,12.0,19.0,336.0,60.0,95.0
02M260,2830.0,406.0,211.0,458.0,153.0,1203.0,399.0,799.0,35.0,358.0
02M374,855.0,42.0,260.0,426.0,26.0,53.0,48.0,642.0,57.0,193.0
02M376,4547.0,715.0,607.0,1194.0,184.0,1331.0,516.0,2048.0,72.0,606.0
02M407,972.0,116.0,182.0,293.0,37.0,218.0,126.0,476.0,32.0,171.0
02M408,1123.0,48.0,314.0,394.0,57.0,228.0,82.0,601.0,35.0,178.0
02M411,6152.0,1493.0,922.0,1592.0,209.0,1273.0,663.0,3253.0,124.0,673.0
02M412,3172.0,724.0,263.0,505.0,153.0,1088.0,439.0,1141.0,49.0,500.0
02M413,2455.0,406.0,303.0,622.0,122.0,756.0,246.0,1078.0,71.0,448.0
02M414,3416.0,579.0,356.0,862.0,140.0,1118.0,361.0,1408.0,70.0,461.0
02M416,5796.0,1310.0,758.0,1505.0,206.0,1239.0,778.0,2911.0,113.0,544.0
02M418,6395.0,1652.0,837.0,1409.0,249.0,1547.0,701.0,3072.0,110.0,578.0
02M439,4596.0,745.0,902.0,1946.0,129.0,447.0,427.0,3087.0,189.0,507.0
02M519,1169.0,43.0,356.0,486.0,41.0,159.0,84.0,700.0,39.0,200.0
02M531,451.0,12.0,124.0,193.0,17.0,67.0,38.0,271.0,21.0,90.0
02M542,717.0,5.0,5.0,691.0,12.0,5.0,9.0,647.0,403.0,107.0
02M545,1201.0,814.0,72.0,176.0,26.0,45.0,68.0,880.0,114.0,96.0
02M600,1957.0,116.0,602.0,1010.0,47.0,96.0,86.0,1538.0,139.0,385.0
02M605,729.0,37.0,176.0,360.0,26.0,76.0,54.0,513.0,37.0,175.0
02M630,2875.0,247.0,676.0,1318.0,87.0,360.0,187.0,1960.0,156.0,585.0
03M291,1056.0,64.0,88.0,210.0,52.0,480.0,162.0,261.0,20.0,179.0
03M417,1912.0,106.0,333.0,777.0,69.0,472.0,155.0,1033.0,99.0,367.0
03M479,6901.0,1146.0,1047.0,1777.0,289.0,1881.0,761.0,3196.0,122.0,667.0
03M541,5439.0,1212.0,940.0,1605.0,181.0,1022.0,479.0,3110.0,134.0,490.0
03M859,376.0,32.0,65.0,145.0,18.0,92.0,24.0,185.0,12.0,78.0
04M435,5183.0,899.0,1017.0,2347.0,164.0,459.0,297.0,3723.0,364.0,528.0
04M495,3112.0,227.0,883.0,1652.0,68.0,150.0,132.0,2465.0,163.0,493.0
04M555,4943.0,559.0,1183.0,2450.0,133.0,344.0,274.0,3691.0,229.0,707.0
04M610,875.0,65.0,259.0,402.0,21.0,31.0,97.0,677.0,37.0,121.0
05M362,4382.0,740.0,840.0,1510.0,140.0,684.0,468.0,2558.0,153.0,414.0
05M670,589.0,7.0,339.0,200.0,18.0,11.0,14.0,506.0,41.0,153.0
06M293,1695.0,86.0,316.0,1119.0,32.0,36.0,106.0,1371.0,197.0,322.0
07X495,3206.0,184.0,938.0,1838.0,51.0,87.0,108.0,2677.0,265.0,510.0
07X500,1562.0,48.0,494.0,917.0,38.0,24.0,41.0,1348.0,201.0,292.0
09X324,672.0,15.0,179.0,444.0,10.0,12.0,12.0,607.0,112.0,168.0
09X413,1025.0,50.0,302.0,610.0,20.0,23.0,20.0,904.0,175.0,173.0
09X568,555.0,26.0,186.0,313.0,6.0,12.0,12.0,487.0,43.0,100.0
10X141,1182.0,44.0,208.0,761.0,14.0,102.0,53.0,862.0,115.0,210.0
10X225,610.0,7.0,204.0,368.0,11.0,10.0,10.0,535.0,65.0,160.0
10X368,818.0,26.0,138.0,615.0,15.0,15.0,9.0,707.0,139.0,207.0
10X434,2077.0,63.0,519.0,1360.0,36.0,64.0,35.0,1818.0,308.0,433.0
10X437,1873.0,41.0,523.0,1177.0,29.0,56.0,47.0,1591.0,260.0,463.0
10X442,565.0,8.0,174.0,350.0,9.0,11.0,13.0,476.0,79.0,144.0
12X478,1075.0,23.0,258.0,740.0,19.0,24.0,11.0,973.0,178.0,274.0
13K265,466.0,12.0,304.0,116.0,12.0,11.0,11.0,393.0,18.0,132.0
13K595,3111.0,240.0,1906.0,678.0,67.0,96.0,124.0,2355.0,129.0,446.0
13K670,2909.0,136.0,1907.0,644.0,57.0,56.0,109.0,2249.0,92.0,439.0
14K614,357.0,19.0,166.0,145.0,6.0,7.0,14.0,277.0,25.0,87.0
15K429,1009.0,54.0,417.0,402.0,27.0,71.0,38.0,756.0,52.0,280.0
15K497,655.0,36.0,175.0,164.0,28.0,198.0,54.0,303.0,26.0,142.0
15K656,1886.0,95.0,912.0,534.0,51.0,195.0,99.0,1318.0,64.0,402.0
15K684,5753.0,1277.0,1385.0,1146.0,141.0,1321.0,483.0,3218.0,148.0,589.0
17K543,1080.0,121.0,665.0,178.0,21.0,60.0,35.0,800.0,34.0,136.0
17K590,2950.0,133.0,2191.0,328.0,68.0,69.0,161.0,2124.0,56.0,364.0
19K409,489.0,22.0,311.0,134.0,9.0,13.0,5.0,422.0,34.0,156.0
21K468,1794.0,275.0,606.0,362.0,41.0,398.0,112.0,1211.0,86.0,213.0
22K535,4536.0,1508.0,655.0,471.0,102.0,1466.0,334.0,2647.0,119.0,312.0
22K555,3490.0,601.0,1679.0,641.0,65.0,298.0,206.0,2473.0,130.0,389.0
24Q299,4825.0,1453.0,603.0,1143.0,149.0,946.0,531.0,2479.0,105.0,353.0
24Q520,2237.0,288.0,198.0,1449.0,34.0,171.0,97.0,1716.0,268.0,450.0
24Q610,4134.0,1143.0,274.0,2016.0,79.0,430.0,192.0,3046.0,353.0,602.0
25Q252,809.0,257.0,120.0,203.0,21.0,137.0,71.0,488.0,52.0,117.0
25Q525,8123.0,3563.0,827.0,1709.0,187.0,1056.0,781.0,4600.0,205.0,375.0
27Q323,1527.0,384.0,315.0,346.0,41.0,297.0,144.0,875.0,32.0,161.0
27Q650,2561.0,721.0,413.0,949.0,78.0,218.0,182.0,1818.0,153.0,405.0
28Q284,1745.0,465.0,682.0,270.0,97.0,52.0,179.0,1146.0,51.0,202.0
28Q680,1579.0,651.0,379.0,306.0,68.0,62.0,113.0,1050.0,105.0,132.0
28Q690,488.0,76.0,202.0,150.0,20.0,17.0,23.0,379.0,43.0,106.0
28Q896,529.0,170.0,171.0,100.0,19.0,23.0,46.0,344.0,35.0,61.0
30Q286,567.0,151.0,53.0,231.0,8.0,63.0,61.0,375.0,40.0,73.0
30Q501,2987.0,338.0,501.0,1056.0,94.0,721.0,277.0,1480.0,110.0,420.0
30Q580,3586.0,1505.0,219.0,790.0,103.0,611.0,358.0,2008.0,84.0,172.0
