dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,118.0,11.0,19.0,59.0,3.0,26.0,3.0,68.0,3.0,32.0
01M539,409.0,134.0,18.0,44.0,26.0,162.0,25.0,118.0,0.0,56.0
01M696,279.0,65.0,28.0,42.0,15.0,85.0,44.0,88.0,0.0,31.0
02M047,84.0,5.0,15.0,56.0,5.0,5.0,8.0,71.0,15.0,17.0
02M260,163.0,17.0,6.0,19.0,8.0,105.0,8.0,19.0,0.0,30.0
02M374,190.0,10.0,58.0,86.0,8.0,9.0,19.0,133.0,12.0,33.0
02M376,161.0,15.0,22.0,37.0,11.0,55.0,21.0,97.0,0.0,33.0
02M407,86.0,9.0,23.0,13.0,5.0,36.0,5.0,30.0,5.0,22.0
02M408,191.0,17.0,22.0,42.0,17.0,79.0,14.0,55.0,0.0,31.0
02M411,173.0,51.0,5.0,13.0,15.0,69.0,25.0,62.0,5.0,29.0
02M412,176.0,44.0,5.0,11.0,11.0,72.0,38.0,60.0,5.0,37.0
02M413,145.0,21.0,14.0,21.0,17.0,63.0,9.0,44.0,0.0,31.0
02M414,252.0,34.0,16.0,22.0,9.0,134.0,37.0,48.0,0.0,33.0
02M416,345.0,82.0,5.0,16.0,24.0,155.0,68.0,56.0,5.0,34.0
02M418,270.0,137.0,9.0,30.0,6.0,63.0,25.0,114.0,0.0,41.0
02M439,138.0,23.0,20.0,61.0,5.0,17.0,17.0,81.0,5.0,28.0
02M519,173.0,13.0,32.0,81.0,5.0,27.0,20.0,82.0,5.0,28.0
02M531,72.0,5.0,14.0,30.0,5.0,13.0,9.0,34.0,5.0,18.0
02M542,154.0,5.0,5.0,147.0,5.0,5.0,5.0,137.0,77.0,21.0
02M545,144.0,115.0,5.0,11.0,5.0,7.0,5.0,109.0,34.0,17.0
02M600,586.0,29.0,167.0,309.0,13.0,34.0,34.0,438.0,31.0,126.0
02M605,83.0,5.0,17.0,34.0,5.0,13.0,13.0,49.0,5.0,19.0
02M630,471.0,60.0,53.0,165.0,22.0,122.0,49.0,216.0,6.0,93.0
03M291,108.0,11.0,5.0,16.0,5.0,67.0,9.0,15.0,5.0,24.0
03M417,156.0,10.0,11.0,41.0,6.0,71.0,17.0,40.0,0.0,34.0
03M479,605.0,122.0,66.0,151.0,33.0,171.0,62.0,209.0,0.0,113.0
03M541,204.0,64.0,26.0,55.0,6.0,33.0,20.0,141.0,0.0,28.0
03M859,69.0,11.0,5.0,12.0,8.0,28.0,5.0,13.0,5.0,7.0
04M435,644.0,176.0,99.0,230.0,23.0,82.0,34.0,426.0,51.0,76.0
04M495,132.0,9.0,39.0,69.0,5.0,9.0,5.0,93.0,6.0,27.0
04M555,214.0,40.0,41.0,87.0,8.0,25.0,13.0,147.0,6.0,35.0
04M610,113.0,10.0,21.0,54.0,5.0,8.0,20.0,87.0,5.0,21.0
05M362,142.0,16.0,26.0,51.0,5.0,43.0,5.0,69.0,5.0,29.0
05M670,159.0,5.0,102.0,45.0,7.0,5.0,5.0,137.0,6.0,38.0
06M293,96.0,5.0,5.0,89.0,5.0,5.0,5.0,81.0,5.0,23.0
07X495,184.0,13.0,46.0,105.0,5.0,9.0,11.0,143.0,8.0,39.0
07X500,110.0,4.0,32.0,74.0,4.0,4.0,4.0,91.0,6.0,23.0
09X324,130.0,5.0,31.0,85.0,5.0,5.0,5.0,114.0,21.0,32.0
