dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,1869,287,328,738,54,297,165,1154,84,418
01M539,6203,1842,653,1159,265,1697,587,2758,88,450
01M696,3971,784,769,957,147,838,476,2017,70,346
02M047,397,17,96,245,8,12,19,336,60,95
02M260,2830,406,211,458,153,1203,399,799,35,358
02M374,855,42,260,426,26,53,48,642,57,193
02M376,4547,715,607,1194,184,1331,516,2048,72,606
02M407,972,116,182,293,37,218,126,476,32,171
02M408,1123,48,314,394,57,228,82,601,35,178
02M411,6152,1493,922,1592,209,1273,663,3253,124,673
02M412,3172,724,263,505,153,1088,439,1141,49,500
02M413,2455,406,303,622,122,756,246,1078,71,448
02M414,3416,579,356,862,140,1118,361,1408,70,461
02M416,5796,1310,758,1505,206,1239,778,2911,113,544
02M418,6395,1652,837,1409,249,1547,701,3072,110,578
02M439,4596,745,902,1946,129,447,427,3087,189,507
02M519,1169,43,356,486,41,159,84,700,39,200
02M531,451,12,124,193,17,67,38,271,21,90
02M542,717,0,0,691,12,0,9,647,403,107
02M545,1201,814,72,176,26,45,68,880,114,96
02M600,1957,116,602,1010,47,96,86,1538,139,385
02M605,729,37,176,360,26,76,54,513,37,175
02M630,2875,247,676,1318,87,360,187,1960,156,585
03M291,1056,64,88,210,52,480,162,261,20,179
03M417,1912,106,333,777,69,472,155,1033,99,367
03M479,6901,1146,1047,1777,289,1881,761,3196,122,667
03M541,5439,1212,940,1605,181,1022,479,3110,134,490
03M859,376,32,65,145,18,92,24,185,12,78
04M435,5183,899,1017,2347,164,459,297,3723,364,528
04M495,3112,227,883,1652,68,150,132,2465,163,493
04M555,4943,559,1183,2450,133,344,274,3691,229,707
04M610,875,65,259,402,21,31,97,677,37,121
05M362,4382,740,840,1510,140,684,468,2558,153,414
05M670,589,7,339,200,18,11,14,506,41,153
06M293,1695,86,316,1119,32,36,106,1371,197,322
07X495,3206,184,938,1838,51,87,108,2677,265,510
07X500,1562,48,494,917,38,24,41,1348,201,292
09X324,672,15,179,444,10,12,12,607,112,168
09X413,1025,50,302,610,20,23,20,904,175,173
09X568,555,26,186,313,6,12,12,487,43,100
10X141,1182,44,208,761,14,102,53,862,115,210
10X225,610,7,204,368,11,10,10,535,65,160
10X368,818,26,138,615,15,15,9,707,139,207
10X434,2077,63,519,1360,36,64,35,1818,308,433
10X437,1873,41,523,1177,29,56,47,1591,260,463
10X442,565,8,174,350,9,11,13,476,79,144
12X478,1075,23,258,740,19,24,11,973,178,274
13K265,466,12,304,116,12,11,11,393,18,132
13K595,3111,240,1906,678,67,96,124,2355,129,446
13K670,2909,136,1907,644,57,56,109,2249,92,439
14K614,357,19,166,145,6,7,14,277,25,87
15K429,1009,54,417,402,27,71,38,756,52,280
15K497,655,36,175,164,28,198,54,303,26,142
15K656,1886,95,912,534,51,195,99,1318,64,402
15K684,5753,1277,1385,1146,141,1321,483,3218,148,589
17K543,1080,121,665,178,21,60,35,800,34,136
17K590,2950,133,2191,328,68,69,161,2124,56,364
19K409,489,22,311,134,9,6,0,422,34,156
21K468,1794,275,606,362,41,398,112,1211,86,213
22K535,4536,1508,655,471,102,1466,334,2647,119,312
22K555,3490,601,1679,641,65,298,206,2473,130,389
24Q299,4825,1453,603,1143,149,946,531,2479,105,353
24Q520,2237,288,198,1449,34,171,97,1716,268,450
24Q610,4134,1143,274,2016,79,430,192,3046,353,602
25Q252,809,257,120,203,21,137,71,488,52,117
25Q525,8123,3563,827,1709,187,1056,781,4600,205,375
27Q323,1527,384,315,346,41,297,144,875,32,161
27Q650,2561,721,413,949,78,218,182,1818,153,405
28Q284,1745,465,682,270,97,52,179,1146,51,202
28Q680,1579,651,379,306,68,62,113,1050,105,132
28Q690,488,76,202,150,20,17,23,379,43,106
28Q896,529,170,171,100,19,23,46,344,35,61
30Q286,567,151,53,231,8,63,61,375,40,73
30Q501,2987,338,501,1056,94,721,277,1480,110,420
30Q580,3586,1505,219,790,103,611,358,2008,84,172
