dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,118,11,19,59,0,26,0,68,0,32
01M539,409,134,18,44,26,162,25,118,0,56
01M696,279,65,28,42,15,85,44,88,0,31
02M047,84,0,15,56,0,0,8,71,15,17
02M260,163,17,6,19,8,105,8,19,0,30
02M374,190,10,58,86,8,9,19,133,12,33
02M376,161,15,22,37,11,55,21,97,0,33
02M407,86,9,23,13,0,36,0,30,0,22
02M408,191,17,22,42,17,79,14,55,0,31
02M411,173,51,0,13,6,69,25,62,0,29
02M412,176,44,0,6,11,72,38,60,0,37
02M413,145,21,14,21,17,63,9,44,0,31
02M414,252,34,16,22,9,134,37,48,0,33
02M416,345,82,0,6,24,155,68,56,0,34
02M418,270,137,9,30,6,63,25,114,0,41
02M439,138,23,20,61,0,17,6,81,0,28
02M519,173,6,32,81,0,27,20,82,0,28
02M531,72,0,14,30,0,13,9,34,0,18
02M542,154,0,0,147,0,0,0,137,77,21
02M545,144,115,0,11,0,7,0,109,34,17
02M600,586,29,167,309,13,34,34,438,31,126
02M605,83,0,17,34,0,13,13,49,0,19
02M630,471,60,53,165,22,122,49,216,6,93
03M291,108,11,0,16,0,67,9,15,0,24
03M417,156,10,11,41,6,71,17,40,0,34
03M479,605,122,66,151,33,171,62,209,0,113
03M541,204,64,26,55,6,33,20,141,0,28
03M859,69,11,0,12,8,28,0,13,0,7
04M435,644,176,99,230,23,82,34,426,51,76
04M495,132,9,39,69,0,9,0,93,6,27
04M555,214,40,41,87,8,25,13,147,6,35
04M610,113,10,21,54,0,6,20,87,0,21
05M362,142,16,26,51,0,43,0,69,0,29
05M670,159,0,102,45,7,0,0,137,6,38
06M293,96,0,0,89,0,0,0,81,0,23
07X495,184,13,46,105,0,6,11,143,8,39
07X500,110,0,32,74,0,0,0,91,6,23
09X324,130,0,31,85,0,0,0,114,21,32
09X413,151,0,56,80,0,0,0,127,27,38
09X568,112,6,36,64,0,0,0,95,0,24
10X141,251,9,18,158,6,57,0,129,23,54
10X225,85,0,29,47,0,0,0,76,8,19
10X368,161,0,17,129,0,0,0,140,38,38
10X434,158,0,49,95,0,7,0,134,12,38
10X437,156,0,44,96,0,8,0,127,6,34
10X442,164,0,61,92,0,0,0,137,7,37
12X478,117,0,28,84,0,0,0,102,11,25
13K265,80,0,52,24,0,0,0,70,0,13
13K595,115,15,79,10,0,6,0,74,0,19
13K670,299,9,213,58,8,6,0,232,8,53
14K614,97,9,44,37,0,0,0,84,6,18
15K429,125,0,44,58,0,12,0,89,0,26
15K497,131,0,33,34,0,48,6,54,0,23
15K656,260,15,119,75,10,24,17,156,0,29
15K684,312,106,6,31,0,107,39,153,0,34
17K543,138,14,97,16,0,0,0,94,0,17
17K590,286,13,231,20,13,0,6,214,0,36
19K409,122,0,71,39,0,0,0,104,6,27
21K468,121,11,31,42,0,30,0,95,0,22
22K535,511,173,72,48,12,178,28,267,0,49
22K555,201,12,135,23,0,6,16,120,6,35
24Q299,267,94,46,45,8,44,30,169,0,36
24Q520,105,11,0,75,0,14,0,78,6,20
24Q610,635,261,18,244,8,74,30,456,19,88
25Q252,132,47,19,17,0,39,6,69,0,15
25Q525,577,336,23,43,16,84,75,228,0,55
27Q323,199,31,25,36,0,103,0,77,0,33
27Q650,304,84,25,99,11,57,28,186,0,48
28Q284,92,22,53,0,10,0,0,72,0,15
28Q680,147,68,36,15,6,0,16,76,0,20
28Q690,138,26,60,32,10,0,6,108,10,24
28Q896,118,50,37,16,0,0,8,85,0,16
30Q286,100,32,6,35,0,20,7,64,0,17
30Q501,322,51,22,68,14,126,41,87,0,34
30Q580,209,110,0,27,7,58,0,95,0,21
