dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,118,11,19,59,s,26,s,68,s,32
01M539,409,134,18,44,26,162,25,118,s,56
01M696,279,65,28,42,15,85,44,88,s,31
02M047,84,s,15,56,s,s,8,71,15,17
02M260,163,17,6,19,8,105,8,19,s,30
02M374,190,10,58,86,8,9,19,133,12,33
02M376,161,15,22,37,11,55,21,97,s,33
02M407,86,9,23,13,s,36,s,30,s,22
02M408,191,17,22,42,17,79,14,55,s,31
02M411,173,51,s,13,s^,69,25,62,s,29
02M412,176,44,s,s^,11,72,38,60,s,37
02M413,145,21,14,21,17,63,9,44,s,31
02M414,252,34,16,22,9,134,37,48,s,33
02M416,345,82,s,s^,24,155,68,56,s,34
02M418,270,137,9,30,6,63,25,114,s,41
02M439,138,23,20,61,s,17,s^,81,s,28
02M519,173,s^,32,81,s,27,20,82,s,28
02M531,72,s,14,30,s,13,9,34,s,18
02M542,154,s,s,147,s,s,s,137,77,21
02M545,144,115,s,11,s,7,s,109,34,17
02M600,586,29,167,309,13,34,34,438,31,126
02M605,83,s,17,34,s,13,13,49,s,19
02M630,471,60,53,165,22,122,49,216,6,93
03M291,108,11,s,16,s,67,9,15,s,24
03M417,156,10,11,41,6,71,17,40,s,34
03M479,605,122,66,151,33,171,62,209,s,113
03M541,204,64,26,55,6,33,20,141,s,28
03M859,69,11,s,12,8,28,s,13,s,7
04M435,644,176,99,230,23,82,34,426,51,76
04M495,132,9,39,69,s,9,s,93,6,27
04M555,214,40,41,87,8,25,13,147,6,35
04M610,113,10,21,54,s,s^,20,87,s,21
05M362,142,16,26,51,s,43,s,69,s,29
05M670,159,s,102,45,7,s,s,137,6,38
06M293,96,s,s,89,s,s,s,81,s,23
07X495,184,13,46,105,s,s^,11,143,8,39
07X500,110,s,32,74,s,s,s,91,6,23
09X324,130,s,31,85,s,s,s,114,21,32
09X413,151,s,56,80,s,s,s,127,27,38
09X568,112,6,36,64,s,s,s,95,s,24
10X141,251,9,18,158,s^,57,s,129,23,54
10X225,85,s,29,47,s,s,s,76,8,19
10X368,161,s,17,129,s,s,s,140,38,38
10X434,158,s,49,95,s,7,s,134,12,38
10X437,156,s,44,96,s,8,s,127,6,34
10X442,164,s,61,92,s,s,s,137,7,37
12X478,117,s,28,84,s,s,s,102,11,25
13K265,80,s,52,24,s,s,s,70,s,13
13K595,115,15,79,10,s,6,s,74,s,19
13K670,299,9,213,58,8,s^,s,232,8,53
14K614,97,9,44,37,s,s,s,84,6,18
15K429,125,s,44,58,s,12,s,89,s,26
15K497,131,s,33,34,s,48,6,54,s,23
15K656,260,15,119,75,10,24,17,156,s,29
15K684,312,106,s^,31,s,107,39,153,s,34
17K543,138,14,97,16,s,s,s,94,s,17
17K590,286,13,231,20,13,s,s^,214,s,36
19K409,122,s,71,39,s,s,s,104,6,27
21K468,121,11,31,42,s,30,s,95,s,22
22K535,511,173,72,48,12,178,28,267,s,49
22K555,201,12,135,23,s,s^,16,120,6,35
24Q299,267,94,46,45,8,44,30,169,s,36
24Q520,105,11,s,75,s,14,s,78,6,20
24Q610,635,261,18,244,8,74,30,456,19,88
25Q252,132,47,19,17,s,39,s^,69,s,15
25Q525,577,336,23,43,16,84,75,228,s,55
27Q323,199,31,25,36,s,103,s,77,s,33
27Q650,304,84,25,99,11,57,28,186,s,48
28Q284,92,22,53,s,10,s,s,72,s,15
28Q680,147,68,36,15,s^,s,16,76,s,20
28Q690,138,26,60,32,10,s,s^,108,10,24
28Q896,118,50,37,16,s,s,8,85,s,16
30Q286,100,32,s^,35,s,20,7,64,s,17
30Q501,322,51,22,68,14,126,41,87,s,34
30Q580,209,110,s,27,7,58,s,95,s,21
