School DBN,School Name,School Admissions Method(s),Applicants,,,,,,,,,,Offers,,,,,,,,,
,,,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
01M450,East Side Community School,"MS:Screened, HS:Screened",1869,287,328,738,54,297,165,1154,84,418,118,11,19,59,s,26,s,68,s,32
01M539,"New Explorations into Science, Technology and Math","ES:Citywide G&T, MS:Screened, HS:Screened",6203,1842,653,1159,265,1697,587,2758,88,450,409,134,18,44,26,162,25,118,s,56
01M696,Bard High School Early College,HS:Screened,3971,784,769,957,147,838,476,2017,70,346,279,65,28,42,15,85,44,88,s,31
02M047,47 The American Sign Language and English Secondar,HS:Screened,397,17,96,245,8,12,19,336,60,95,84,s,15,56,s,s,8,71,15,17
02M260,The Clinton School,"MS:Screened, HS:Screened",2830,406,211,458,153,1203,399,799,35,358,163,17,6,19,8,105,8,19,s,30
02M374,Gramercy Arts High School,"HS:Audition, Screened",855,42,260,426,26,53,48,642,57,193,190,10,58,86,8,9,19,133,12,33
02M376,NYC iSchool,HS:Screened,4547,715,607,1194,184,1331,516,2048,72,606,161,15,22,37,11,55,21,97,s,33
02M407,Institute for Collaborative Education,"MS:Screened, HS:Screened",972,116,182,293,37,218,126,476,32,171,86,9,23,13,s,36,s,30,s,22
02M408,Professional Performing Arts High School,"MS:Screened, HS:Audition",1123,48,314,394,57,228,82,601,35,178,191,17,22,42,17,79,14,55,s,31
02M411,Baruch College Campus High School,HS:Screened,6152,1493,922,1592,209,1273,663,3253,124,673,173,51,s,13,s^,69,25,62,s,29
02M412,N.Y.C. Lab School for Collaborative Studies,HS:Screened,3172,724,263,505,153,1088,439,1141,49,500,176,44,s,s^,11,72,38,60,s,37
02M413,School of the Future High School,"MS:Screened, HS:Screened",2455,406,303,622,122,756,246,1078,71,448,145,21,14,21,17,63,9,44,s,31
02M414,N.Y.C. Museum School,HS:Screened,3416,579,356,862,140,1118,361,1408,70,461,252,34,16,22,9,134,37,48,s,33
02M416,Eleanor Roosevelt High School,HS:Screened,5796,1310,758,1505,206,1239,778,2911,113,544,345,82,s,s^,24,155,68,56,s,34
02M418,Millennium High School,HS:Screened,6395,1652,837,1409,249,1547,701,3072,110,578,270,137,9,30,6,63,25,114,s,41
02M439,Manhattan Village Academy,HS:Screened,4596,745,902,1946,129,447,427,3087,189,507,138,23,20,61,s,17,s^,81,s,28
02M519,Talent Unlimited High School,HS:Audition,1169,43,356,486,41,159,84,700,39,200,173,s^,32,81,s,27,20,82,s,28
02M531,Repertory Company High School for Theatre Arts,HS:Audition,451,12,124,193,17,67,38,271,21,90,72,s,14,30,s,13,9,34,s,18
02M542,Manhattan Bridges High School,HS:Screened: Language & Academics,717,s,s,691,12,s,9,647,403,107,154,s,s,147,s,s,s,137,77,21
02M545,High School for Dual Language and Asian Studies,HS:Screened: Language & Academics,1201,814,72,176,26,45,68,880,114,96,144,115,s,11,s,7,s,109,34,17
02M600,The High School of Fashion Industries,HS:Audition,1957,116,602,1010,47,96,86,1538,139,385,586,29,167,309,13,34,34,438,31,126
02M605,Humanities Preparatory Academy,HS:Screened,729,37,176,360,26,76,54,513,37,175,83,s,17,34,s,13,13,49,s,19
02M630,Art and Design High School,HS:Audition,2875,247,676,1318,87,360,187,1960,156,585,471,60,53,165,22,122,49,216,6,93
03M291,West End Secondary School,"MS:Screened, HS:Screened",1056,64,88,210,52,480,162,261,20,179,108,11,s,16,s,67,9,15,s,24
03M417,Frank McCourt High School,HS:Screened,1912,106,333,777,69,472,155,1033,99,367,156,10,11,41,6,71,17,40,s,34
03M479,Beacon High School,HS:Screened,6901,1146,1047,1777,289,1881,761,3196,122,667,605,122,66,151,33,171,62,209,s,113
03M541,Manhattan / Hunter Science High School,HS:Screened,5439,1212,940,1605,181,1022,479,3110,134,490,204,64,26,55,6,33,20,141,s,28
03M859,Special Music School,"ES:Non-Zoned, MS:Screened, HS:Audition",376,32,65,145,18,92,24,185,12,78,69,11,s,12,8,28,s,13,s,7
04M435,Manhattan Center for Science and Mathematics,"HS:Screened, Screened: Language & Academics",5183,899,1017,2347,164,459,297,3723,364,528,644,176,99,230,23,82,34,426,51,76
04M495,Park East High School,HS:Screened,3112,227,883,1652,68,150,132,2465,163,493,132,9,39,69,s,9,s,93,6,27
04M555,Central Park East High School,HS:Screened,4943,559,1183,2450,133,344,274,3691,229,707,214,40,41,87,8,25,13,147,6,35
04M610,Young Women's Leadership School,"MS:Screened, HS:Screened",875,65,259,402,21,31,97,677,37,121,113,10,21,54,s,s^,20,87,s,21
05M362,Columbia Secondary School,"MS:Screened, HS:Screened",4382,740,840,1510,140,684,468,2558,153,414,142,16,26,51,s,43,s,69,s,29
05M670,Thurgood Marshall Academy for Learning and Social,"MS:Screened, HS:Screened",589,7,339,200,18,11,14,506,41,153,159,s,102,45,7,s,s,137,6,38
06M293,City College Academy of the Arts,"MS:Limited Unscreened, HS:Screened",1695,86,316,1119,32,36,106,1371,197,322,96,s,s,89,s,s,s,81,s,23
07X495,University Heights Secondary School,HS:Screened,3206,184,938,1838,51,87,108,2677,265,510,184,13,46,105,s,s^,11,143,8,39
07X500,Hostos-Lincoln Academy of Science,"MS:Screened, HS:Screened",1562,48,494,917,38,24,41,1348,201,292,110,s,32,74,s,s,s,91,6,23
