dbn,School Name,# Applicants,% Asian Applicants,% Asian Applicants - Estimate Off By (+/-),% Black Applicants,% Black Applicants - Estimate Off By (+/-),% Latino Applicants,% Latino Applicants - Estimate Off By (+/-),% White Applicants,% White Applicants - Estimate Off By (+/-),# Offers,% Asian Offers,% Asian Offers - Estimate Off By (+/-),% Black Offers,% Black Offers - Estimate Off By (+/-),% Latino Offers,% Latino Offers - Estimate Off By (+/-),% White Offers,% White Offers - Estimate Off By (+/-)
01M450,East Side Community School,1869.0,15.4,0.0,17.5,0.0,39.5,0.0,15.9,0.0,118.0,9.3,0.0,16.1,0.0,50.0,0.0,22.0,0.0
01M539,"New Explorations into Science, Technology and Math",6203.0,29.7,0.0,10.5,0.0,18.7,0.0,27.4,0.0,409.0,32.8,0.0,4.4,0.0,10.8,0.0,39.6,0.0
01M696,Bard High School Early College,3971.0,19.7,0.0,19.4,0.0,24.1,0.0,21.1,0.0,279.0,23.3,0.0,10.0,0.0,15.1,0.0,30.5,0.0
02M047,47 The American Sign Language and English Secondary School,397.0,4.3,0.0,24.2,0.0,61.7,0.0,3.0,0.0,84.0,3.0,3.0,17.9,0.0,66.7,0.0,3.0,3.0
02M260,The Clinton School,2830.0,14.3,0.0,7.5,0.0,16.2,0.0,42.5,0.0,163.0,10.4,0.0,3.7,0.0,11.7,0.0,64.4,0.0
02M374,Gramercy Arts High School,855.0,4.9,0.0,30.4,0.0,49.8,0.0,6.2,0.0,190.0,5.3,0.0,30.5,0.0,45.3,0.0,4.7,0.0
02M376,NYC iSchool,4547.0,15.7,0.0,13.3,0.0,26.3,0.0,29.3,0.0,161.0,9.3,0.0,13.7,0.0,23.0,0.0,34.2,0.0
02M407,Institute for Collaborative Education,972.0,11.9,0.0,18.7,0.0,30.1,0.0,22.4,0.0,86.0,10.5,0.0,26.7,0.0,15.1,0.0,41.9,0.0
02M408,Professional Performing Arts High School,1123.0,4.3,0.0,28.0,0.0,35.1,0.0,20.3,0.0,191.0,8.9,0.0,11.5,0.0,22.0,0.0,41.4,0.0
02M411,Baruch College Campus High School,6152.0,24.3,0.0,15.0,0.0,25.9,0.0,20.7,0.0,173.0,29.5,0.0,1.4,1.4,7.5,0.0,39.9,0.0
02M412,N.Y.C. Lab School for Collaborative Studies,3172.0,22.8,0.0,8.3,0.0,15.9,0.0,34.3,0.0,176.0,25.0,0.0,1.4,1.4,4.8,1.4,40.9,0.0
02M413,School of the Future High School,2455.0,16.5,0.0,12.3,0.0,25.3,0.0,30.8,0.0,145.0,14.5,0.0,9.7,0.0,14.5,0.0,43.4,0.0
